timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675247663,7.0000000000,0.0000000000,0.0000000000,122.0000000000,42.0000000000,1.0000000000
1717675247664,7.0000000000,0.0000000000,0.0000000000,121.0000000000,42.0000000000,1.0000000000
1717675247664,6.0000000000,0.0000000000,0.0000000000,121.0000000000,42.0000000000,1.0000000000
1717675247664,7.0000000000,0.0000000000,0.0000000000,120.0000000000,41.0000000000,1.0000000000
1717675247664,7.0000000000,0.0000000000,0.0000000000,120.0000000000,41.0000000000,1.0000000000
1717675247665,7.0000000000,0.0000000000,0.0000000000,120.0000000000,41.0000000000,1.0000000000
1717675247665,7.0000000000,0.0000000000,0.0000000000,120.0000000000,41.0000000000,1.0000000000
1717675247665,7.0000000000,0.0000000000,0.0000000000,118.0000000000,40.0000000000,1.0000000000
1717675247665,7.0000000000,0.0000000000,0.0000000000,118.0000000000,40.0000000000,1.0000000000
1717675247665,7.0000000000,0.0000000000,0.0000000000,118.0000000000,41.0000000000,1.0000000000
1717675247665,7.0000000000,0.0000000000,0.0000000000,117.0000000000,39.0000000000,1.0000000000
1717675247665,7.0000000000,0.0000000000,0.0000000000,116.0000000000,39.0000000000,1.0000000000
1717675247666,7.0000000000,0.0000000000,0.0000000000,115.0000000000,39.0000000000,1.0000000000
1717675247666,7.0000000000,0.0000000000,0.0000000000,115.0000000000,39.0000000000,1.0000000000
1717675247666,7.0000000000,0.0000000000,0.0000000000,115.0000000000,39.0000000000,1.0000000000
1717675247666,7.0000000000,0.0000000000,0.0000000000,114.0000000000,39.0000000000,1.0000000000
1717675247666,6.0000000000,0.0000000000,0.0000000000,114.0000000000,39.0000000000,1.0000000000
1717675247666,7.0000000000,0.0000000000,0.0000000000,114.0000000000,39.0000000000,1.0000000000
1717675247680,6.0000000000,0.0000000000,0.0000000000,113.0000000000,39.0000000000,1.0000000000
1717675247681,7.0000000000,0.0000000000,0.0000000000,112.0000000000,39.0000000000,1.0000000000
1717675247681,6.0000000000,0.0000000000,0.0000000000,112.0000000000,38.0000000000,1.0000000000
1717675247681,7.0000000000,0.0000000000,0.0000000000,112.0000000000,38.0000000000,1.0000000000
1717675247681,7.0000000000,0.0000000000,0.0000000000,111.0000000000,38.0000000000,1.0000000000
1717675247681,7.0000000000,0.0000000000,0.0000000000,111.0000000000,38.0000000000,1.0000000000
1717675247681,6.0000000000,0.0000000000,0.0000000000,110.0000000000,38.0000000000,1.0000000000
1717675247681,7.0000000000,0.0000000000,0.0000000000,110.0000000000,38.0000000000,1.0000000000
1717675247681,7.0000000000,0.0000000000,0.0000000000,109.0000000000,37.0000000000,1.0000000000
1717675247695,6.0000000000,0.0000000000,0.0000000000,109.0000000000,36.0000000000,1.0000000000
1717675247697,6.0000000000,0.0000000000,0.0000000000,108.0000000000,37.0000000000,0.0000000000
1717675247697,7.0000000000,0.0000000000,0.0000000000,108.0000000000,37.0000000000,1.0000000000
1717675247697,7.0000000000,0.0000000000,0.0000000000,108.0000000000,36.0000000000,1.0000000000
1717675247698,6.0000000000,0.0000000000,0.0000000000,107.0000000000,36.0000000000,1.0000000000
1717675247698,6.0000000000,0.0000000000,0.0000000000,107.0000000000,36.0000000000,1.0000000000
1717675247698,7.0000000000,0.0000000000,0.0000000000,106.0000000000,36.0000000000,1.0000000000
1717675247698,7.0000000000,0.0000000000,0.0000000000,106.0000000000,36.0000000000,0.0000000000
1717675247699,7.0000000000,0.0000000000,0.0000000000,105.0000000000,35.0000000000,1.0000000000
1717675247699,7.0000000000,0.0000000000,0.0000000000,105.0000000000,36.0000000000,1.0000000000
1717675247700,7.0000000000,0.0000000000,0.0000000000,104.0000000000,35.0000000000,1.0000000000
