timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675095197.0,217.0,336.0,412.0,71.0,14.0,0.0
1717675095260.0,464.0,555.0,717.0,126.0,96.0,0.0
1717675095338.0,415.0,491.0,824.0,135.0,91.0,1.0
1717675095488.0,289.0,483.0,743.0,211.0,57.0,0.0
1717675095539.0,332.0,477.0,665.0,182.0,84.0,0.0
1717675095540.0,316.0,473.0,623.0,175.0,80.0,0.0
1717675095676.0,451.0,494.0,563.0,212.0,87.0,0.0
1717675095712.0,492.0,553.0,532.0,275.0,78.0,1.0
1717675095713.0,465.0,519.0,500.0,262.0,76.0,1.0
1717675095751.0,440.0,531.0,440.0,306.0,67.0,1.0
1717675095869.0,461.0,467.0,551.0,243.0,70.0,9.0
1717675095925.0,363.0,523.0,516.0,193.0,56.0,7.0
1717675096019.0,430.0,504.0,499.0,276.0,44.0,4.0
1717675096147.0,516.0,444.0,662.0,280.0,141.0,3.0
1717675096201.0,489.0,604.0,499.0,231.0,115.0,3.0
1717675096474.0,451.0,425.0,438.0,207.0,81.0,0.0
1717675096533.0,376.0,396.0,440.0,275.0,71.0,0.0
1717675096646.0,287.0,376.0,451.0,189.0,57.0,0.0
1717675096665.0,270.0,352.0,540.0,178.0,54.0,0.0
1717675096802.0,348.0,452.0,484.0,216.0,73.0,0.0
1717675096853.0,284.0,390.0,417.0,262.0,62.0,0.0
1717675096886.0,263.0,481.0,408.0,231.0,55.0,0.0
1717675096928.0,304.0,432.0,533.0,201.0,75.0,3.0
1717675096946.0,300.0,425.0,567.0,267.0,74.0,3.0
1717675096949.0,284.0,403.0,531.0,253.0,70.0,3.0
1717675097012.0,364.0,329.0,467.0,207.0,74.0,2.0
1717675097100.0,412.0,291.0,440.0,321.0,55.0,1.0
1717675097145.0,352.0,400.0,451.0,275.0,71.0,0.0
1717675097340.0,432.0,384.0,358.0,182.0,43.0,0.0
1717675097377.0,422.0,376.0,350.0,179.0,42.0,0.0
1717675097381.0,371.0,423.0,327.0,163.0,50.0,0.0
1717675097596.0,359.0,369.0,450.0,291.0,35.0,0.0
1717675097615.0,337.0,379.0,420.0,329.0,34.0,0.0
1717675097641.0,372.0,443.0,376.0,292.0,41.0,0.0
1717675097706.0,297.0,513.0,355.0,238.0,69.0,0.0
1717675097918.0,614.0,454.0,422.0,221.0,71.0,0.0
1717675097919.0,574.0,502.0,399.0,211.0,69.0,0.0
1717675097956.0,497.0,440.0,385.0,192.0,62.0,0.0
1717675098335.0,492.0,430.0,463.0,255.0,43.0,0.0
1717675098396.0,625.0,471.0,539.0,259.0,70.0,0.0
1717675098441.0,540.0,412.0,544.0,314.0,63.0,0.0
1717675098597.0,324.0,422.0,483.0,233.0,71.0,0.0
1717675098759.0,316.0,408.0,335.0,276.0,42.0,0.0
1717675098798.0,299.0,500.0,359.0,239.0,38.0,0.0
1717675098907.0,480.0,390.0,454.0,227.0,75.0,0.0
1717675099147.0,591.0,444.0,419.0,211.0,76.0,0.0
1717675099220.0,482.0,451.0,319.0,216.0,97.0,0.0
1717675099250.0,423.0,393.0,312.0,195.0,88.0,0.0
1717675099303.0,367.0,364.0,275.0,172.0,77.0,0.0
1717675099379.0,399.0,384.0,330.0,231.0,60.0,0.0
1717675099588.0,465.0,405.0,261.0,230.0,65.0,0.0
1717675099604.0,431.0,411.0,258.0,216.0,61.0,0.0
1717675099730.0,384.0,404.0,369.0,274.0,39.0,0.0
1717675099856.0,451.0,439.0,371.0,262.0,86.0,0.0
1717675099973.0,399.0,441.0,334.0,344.0,129.0,0.0
1717675100120.0,307.0,344.0,287.0,236.0,81.0,0.0
1717675100341.0,280.0,464.0,304.0,263.0,84.0,0.0
1717675100479.0,304.0,502.0,337.0,323.0,55.0,0.0
1717675100535.0,350.0,510.0,372.0,304.0,47.0,0.0
1717675100555.0,321.0,463.0,342.0,280.0,44.0,0.0
