timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675215387.0,359.0,205.0,44.0,127.0,230.0,38.0
1717675215452.0,408.0,166.0,43.0,105.0,197.0,45.0
1717675215701.0,276.0,233.0,31.0,61.0,174.0,43.0
1717675215713.0,315.0,211.0,28.0,56.0,159.0,38.0
1717675215936.0,255.0,142.0,44.0,107.0,178.0,36.0
1717675216029.0,195.0,136.0,63.0,78.0,141.0,71.0
1717675216058.0,372.0,164.0,57.0,70.0,129.0,63.0
1717675216149.0,285.0,138.0,42.0,116.0,189.0,46.0
1717675216192.0,244.0,120.0,36.0,100.0,161.0,39.0
1717675216208.0,236.0,116.0,35.0,96.0,166.0,38.0
1717675216316.0,348.0,198.0,51.0,67.0,120.0,29.0
1717675216406.0,398.0,171.0,39.0,52.0,131.0,23.0
1717675216432.0,513.0,153.0,57.0,121.0,118.0,22.0
1717675216576.0,449.0,162.0,36.0,153.0,223.0,34.0
1717675216625.0,384.0,143.0,33.0,135.0,197.0,30.0
1717675216703.0,320.0,230.0,24.0,97.0,146.0,22.0
1717675216743.0,381.0,204.0,22.0,88.0,131.0,38.0
1717675216758.0,363.0,284.0,96.0,83.0,129.0,36.0
1717675216850.0,380.0,241.0,76.0,128.0,187.0,52.0
1717675216913.0,313.0,205.0,65.0,109.0,160.0,45.0
1717675216929.0,775.0,268.0,89.0,167.0,147.0,57.0
1717675217084.0,583.0,312.0,147.0,136.0,231.0,41.0
1717675217168.0,668.0,241.0,119.0,148.0,196.0,78.0
1717675217450.0,440.0,234.0,57.0,67.0,280.0,76.0
1717675217465.0,406.0,220.0,55.0,63.0,262.0,71.0
1717675217480.0,399.0,217.0,54.0,63.0,259.0,71.0
1717675217605.0,588.0,231.0,49.0,103.0,285.0,49.0
1717675217608.0,565.0,287.0,48.0,100.0,278.0,48.0
1717675218096.0,358.0,290.0,67.0,112.0,120.0,27.0
1717675218149.0,535.0,363.0,58.0,94.0,150.0,41.0
1717675218274.0,487.0,300.0,86.0,89.0,161.0,44.0
1717675218345.0,384.0,335.0,71.0,86.0,208.0,35.0
1717675218365.0,348.0,304.0,65.0,78.0,205.0,141.0
1717675218486.0,370.0,364.0,45.0,51.0,231.0,93.0
1717675218550.0,307.0,300.0,39.0,51.0,196.0,85.0
1717675218729.0,243.0,189.0,66.0,65.0,220.0,49.0
1717675218778.0,413.0,274.0,55.0,56.0,179.0,41.0
1717675218876.0,347.0,202.0,41.0,85.0,180.0,33.0
1717675219041.0,290.0,182.0,31.0,129.0,139.0,56.0
1717675219119.0,649.0,248.0,54.0,99.0,201.0,115.0
1717675219175.0,481.0,246.0,57.0,120.0,166.0,96.0
1717675219194.0,462.0,237.0,60.0,115.0,166.0,93.0
1717675219219.0,486.0,216.0,55.0,105.0,152.0,84.0
1717675219219.0,472.0,212.0,54.0,103.0,150.0,83.0
1717675219395.0,454.0,243.0,56.0,112.0,243.0,49.0
1717675219514.0,361.0,347.0,47.0,140.0,169.0,35.0
1717675219566.0,507.0,458.0,79.0,120.0,231.0,30.0
1717675219592.0,460.0,419.0,73.0,112.0,216.0,29.0
1717675219624.0,377.0,351.0,63.0,96.0,186.0,25.0
1717675219704.0,287.0,468.0,58.0,76.0,148.0,21.0
1717675219805.0,515.0,449.0,76.0,123.0,124.0,74.0
1717675219825.0,496.0,436.0,75.0,120.0,121.0,72.0
1717675219864.0,412.0,369.0,67.0,191.0,110.0,63.0
1717675220010.0,315.0,247.0,45.0,121.0,170.0,48.0
1717675220116.0,231.0,380.0,33.0,91.0,184.0,39.0
1717675220117.0,367.0,355.0,34.0,87.0,174.0,38.0
1717675220147.0,332.0,324.0,31.0,80.0,160.0,35.0
1717675220227.0,398.0,345.0,82.0,60.0,129.0,77.0
1717675220486.0,404.0,271.0,76.0,92.0,207.0,39.0
1717675220502.0,380.0,255.0,71.0,88.0,196.0,36.0
1717675220550.0,394.0,380.0,63.0,76.0,226.0,31.0
1717675220570.0,367.0,355.0,60.0,72.0,212.0,31.0
1717675220738.0,318.0,345.0,79.0,43.0,172.0,21.0
1717675220739.0,307.0,334.0,76.0,42.0,167.0,20.0
1717675220784.0,276.0,300.0,73.0,38.0,152.0,39.0
1717675220858.0,299.0,307.0,60.0,92.0,205.0,79.0
1717675220858.0,295.0,305.0,60.0,91.0,203.0,79.0
1717675220876.0,335.0,323.0,56.0,85.0,191.0,75.0
1717675221186.0,249.0,300.0,61.0,155.0,217.0,29.0
1717675221188.0,239.0,287.0,59.0,147.0,207.0,28.0
1717675224956.0,312.0,57.0,27.0,51.0,177.0,51.0
1717675225065.0,262.0,112.0,41.0,54.0,213.0,47.0
1717675225066.0,252.0,108.0,39.0,52.0,209.0,56.0
1717675225131.0,207.0,87.0,31.0,91.0,166.0,44.0
1717675225269.0,299.0,163.0,20.0,59.0,184.0,29.0
1717675225397.0,208.0,134.0,16.0,55.0,224.0,22.0
1717675225412.0,196.0,126.0,15.0,52.0,210.0,43.0
1717675225441.0,183.0,116.0,62.0,54.0,224.0,43.0
1717675225604.0,243.0,131.0,34.0,124.0,184.0,24.0
1717675225801.0,254.0,102.0,25.0,112.0,148.0,49.0
1717675225804.0,240.0,97.0,24.0,105.0,141.0,46.0
1717675225820.0,231.0,94.0,24.0,103.0,203.0,44.0
1717675225950.0,386.0,267.0,67.0,124.0,145.0,31.0
1717675225990.0,415.0,224.0,56.0,103.0,165.0,33.0
1717675226007.0,382.0,263.0,53.0,99.0,155.0,31.0
1717675226041.0,483.0,227.0,47.0,87.0,207.0,65.0
1717675226108.0,423.0,206.0,46.0,116.0,187.0,58.0
1717675226109.0,399.0,251.0,44.0,111.0,179.0,56.0
1717675226110.0,390.0,244.0,43.0,108.0,175.0,55.0
1717675226110.0,381.0,240.0,43.0,105.0,206.0,53.0
1717675226209.0,344.0,219.0,39.0,97.0,188.0,50.0
1717675226268.0,224.0,236.0,26.0,118.0,236.0,31.0
1717675226392.0,249.0,159.0,45.0,164.0,280.0,59.0
1717675226457.0,272.0,167.0,38.0,140.0,350.0,49.0
1717675226587.0,184.0,167.0,31.0,103.0,227.0,33.0
1717675226591.0,295.0,234.0,28.0,94.0,207.0,30.0
1717675226678.0,224.0,176.0,51.0,155.0,201.0,49.0
1717675226786.0,367.0,287.0,45.0,115.0,233.0,43.0
1717675226787.0,359.0,282.0,44.0,113.0,231.0,42.0
1717675226928.0,317.0,284.0,39.0,80.0,185.0,25.0
1717675227158.0,679.0,244.0,31.0,177.0,255.0,103.0
1717675227297.0,536.0,234.0,55.0,158.0,231.0,67.0
1717675227317.0,504.0,224.0,51.0,151.0,222.0,65.0
1717675227407.0,335.0,161.0,51.0,110.0,161.0,47.0
1717675227699.0,352.0,228.0,52.0,103.0,204.0,45.0
